order_id,order_date,customer_id,customer_segment,region,sales_rep,channel,category,product,unit_price,units_sold,discount_pct,gross_revenue,net_revenue,returned
ORD-100014,2024-07-02,CUST-6693,Consumer,East,Ravi Shah,In-Store,Home & Kitchen,Cookware Set,127.16,10,0.067,1271.6,1186.4,False
ORD-100015,2024-07-02,CUST-8258,Small Business,North,Alex Kim,Wholesale,Office Supplies,Notebook Set,14.32,6,0.108,85.92,76.64,False
ORD-100016,2024-07-02,CUST-8841,Consumer,East,Emily Chen,Online,Beauty,Perfume,70.65,6,0.001,423.9,423.48,False
ORD-100017,2024-07-02,CUST-5822,Consumer,North,Alex Kim,Marketplace,Office Supplies,Notebook Set,14.72,1,0.077,14.72,13.59,False
ORD-100018,2024-07-02,CUST-7487,Consumer,East,Emily Chen,Online,Apparel,Winter Jacket,125.51,1,0.027,125.51,122.12,False
ORD-100019,2024-07-02,CUST-5627,Enterprise,North,Jordan Lee,Online,Apparel,Winter Jacket,121.39,6,0.074,728.34,674.44,False
ORD-100020,2024-07-02,CUST-8972,Small Business,Central,Tyler Brooks,Online,Apparel,Denim Jeans,55.33,4,0.019,221.32,217.11,True
ORD-100021,2024-07-02,CUST-8370,Small Business,East,Liam O'Brien,Online,Home & Kitchen,Vacuum Cleaner,156.25,5,0.041,781.25,749.22,False
ORD-100022,2024-07-03,CUST-5985,Consumer,Central,Dana Kowalski,In-Store,Home & Kitchen,Air Fryer,87.5,4,0.051,350.0,332.15,False
ORD-100023,2024-07-03,CUST-6697,Consumer,North,Jordan Lee,Marketplace,Office Supplies,Standing Desk,352.17,1,0.123,352.17,308.85,False
ORD-100024,2024-07-03,CUST-8737,Consumer,East,Ravi Shah,Marketplace,Electronics,USB-C Hub,35.14,6,0.116,210.84,186.38,False
ORD-100025,2024-07-03,CUST-6417,Consumer,South,Chris Evans,Wholesale,Office Supplies,Monitor Arm,57.48,4,0.243,229.92,174.05,False
ORD-100026,2024-07-03,CUST-6744,Consumer,East,Emily Chen,Marketplace,Office Supplies,Notebook Set,15.64,3,0.113,46.92,41.62,False
ORD-100027,2024-07-03,CUST-5105,Enterprise,Central,Marcus Webb,In-Store,Apparel,Winter Jacket,122.39,2,0.033,244.78,236.7,False
ORD-100028,2024-07-03,CUST-9037,Enterprise,Central,Dana Kowalski,In-Store,Beauty,Perfume,72.71,3,0.053,218.13,206.57,True
ORD-100029,2024-07-03,CUST-5807,Small Business,South,Chris Evans,Marketplace,Home & Kitchen,Vacuum Cleaner,157.23,2,0.117,314.46,277.67,False
ORD-100030,2024-07-03,CUST-8313,Consumer,Central,Tyler Brooks,Marketplace,Electronics,Laptop Stand,29.93,5,0.094,149.65,135.58,False
ORD-100031,2024-07-03,CUST-8038,Consumer,West,Priya Nair,Online,Home & Kitchen,Cookware Set,133.94,6,0.052,803.64,761.85,False
ORD-100032,2024-07-03,CUST-8713,Consumer,Central,Dana Kowalski,In-Store,Beauty,Hair Dryer,45.34,1,0.088,45.34,41.35,False
ORD-100033,2024-07-03,CUST-7826,Small Business,East,Ravi Shah,In-Store,Beauty,Perfume,73.33,1,0.011,73.33,72.52,False
ORD-100034,2024-07-03,CUST-5673,Small Business,Central,Tyler Brooks,In-Store,Home & Kitchen,Cookware Set,126.7,1,0.072,126.7,117.58,False
ORD-100035,2024-07-03,CUST-5039,Small Business,Central,Tyler Brooks,Marketplace,Electronics,Wireless Earbuds,57.07,4,0.099,228.28,205.68,False
ORD-100036,2024-07-03,CUST-8799,Small Business,North,Jordan Lee,In-Store,Home & Kitchen,Cookware Set,125.91,5,0.017,629.55,618.85,False
ORD-100037,2024-07-03,CUST-8852,Enterprise,South,Nina Torres,Wholesale,Apparel,Running Shoes,77.01,2,0.123,154.02,135.08,False
ORD-100038,2024-07-04,CUST-7032,Consumer,South,Nina Torres,Marketplace,Apparel,Winter Jacket,119.23,1,0.092,119.23,108.26,False
ORD-100039,2024-07-04,CUST-8665,Consumer,East,Liam O'Brien,Online,Apparel,Denim Jeans,52.67,5,0.06,263.35,247.55,False
ORD-100040,2024-07-04,CUST-9317,Enterprise,West,Jake Chen,Online,Office Supplies,Monitor Arm,58.31,1,0.019,58.31,57.2,False
ORD-100041,2024-07-04,CUST-5574,Small Business,West,Jake Chen,Online,Office Supplies,Desk Lamp,33.58,1,0.011,33.58,33.21,False
ORD-100042,2024-07-04,CUST-6083,Enterprise,West,Sophie Zhang,Marketplace,Electronics,Wireless Earbuds,59.91,1,0.094,59.91,54.28,False
ORD-100043,2024-07-04,CUST-7077,Consumer,South,Nina Torres,Online,Home & Kitchen,Vacuum Cleaner,146.49,6,0.006,878.94,873.67,False
ORD-100044,2024-07-04,CUST-9027,Consumer,North,Jordan Lee,In-Store,Office Supplies,Standing Desk,348.98,2,0.054,697.96,660.27,False
ORD-100045,2024-07-04,CUST-8766,Consumer,North,Sam Patel,In-Store,Apparel,Yoga Pants,38.35,1,0.068,38.35,35.74,False
ORD-100046,2024-07-05,CUST-6423,Consumer,West,Jake Chen,Marketplace,Electronics,Bluetooth Speaker,45.07,8,0.144,360.56,308.64,True
ORD-100047,2024-07-05,CUST-5967,Enterprise,North,Jordan Lee,Online,Home & Kitchen,Air Fryer,86.66,2,0.014,173.32,170.89,False
ORD-100048,2024-07-05,CUST-8701,Consumer,South,Maria Gomez,Online,Office Supplies,Standing Desk,335.97,4,0.043,1343.88,1286.09,False
ORD-100049,2024-07-05,CUST-5403,Enterprise,East,Ravi Shah,Online,Electronics,Smart Watch,196.19,1,0.026,196.19,191.09,False
ORD-100050,2024-07-05,CUST-7939,Consumer,North,Alex Kim,In-Store,Apparel,Denim Jeans,57.05,4,0.022,228.2,223.18,False
ORD-100051,2024-07-05,CUST-5010,Consumer,North,Alex Kim,Online,Apparel,Yoga Pants,41.14,1,0.052,41.14,39.0,False
ORD-100052,2024-07-05,CUST-7290,Consumer,North,Alex Kim,Marketplace,Electronics,Laptop Stand,31.37,3,0.138,94.11,81.12,False
ORD-100053,2024-07-05,CUST-6429,Consumer,Central,Dana Kowalski,Online,Apparel,Winter Jacket,119.51,2,0.002,239.02,238.54,False
ORD-100054,2024-07-06,CUST-7483,Small Business,North,Alex Kim,In-Store,Electronics,Wireless Earbuds,58.86,4,0.016,235.44,231.67,False
ORD-100055,2024-07-06,CUST-8758,Consumer,Central,Tyler Brooks,Wholesale,Home & Kitchen,Air Fryer,94.23,4,0.194,376.92,303.8,False
ORD-100056,2024-07-06,CUST-5245,Consumer,North,Jordan Lee,In-Store,Home & Kitchen,Vacuum Cleaner,148.22,6,0.001,889.32,888.43,False
ORD-100057,2024-07-06,CUST-7610,Small Business,Central,Tyler Brooks,Online,Apparel,Running Shoes,76.06,2,0.086,152.12,139.04,False
ORD-100058,2024-07-06,CUST-6900,Consumer,East,Emily Chen,Marketplace,Office Supplies,Notebook Set,15.47,4,0.119,61.88,54.52,False
ORD-100059,2024-07-06,CUST-7339,Consumer,West,Sophie Zhang,Online,Electronics,USB-C Hub,33.83,8,0.003,270.64,269.83,False
ORD-100060,2024-07-06,CUST-6304,Consumer,Central,Marcus Webb,Online,Office Supplies,Notebook Set,15.32,2,0.023,30.64,29.94,True
ORD-100061,2024-07-06,CUST-7551,Small Business,East,Liam O'Brien,Online,Electronics,Laptop Stand,28.54,1,0.066,28.54,26.66,False
ORD-100062,2024-07-07,CUST-7115,Enterprise,Central,Marcus Webb,Online,Apparel,Denim Jeans,52.85,4,0.003,211.4,210.77,False
ORD-100063,2024-07-07,CUST-6752,Small Business,East,Emily Chen,In-Store,Apparel,Running Shoes,79.86,2,0.038,159.72,153.65,False
ORD-100064,2024-07-07,CUST-7188,Enterprise,West,Jake Chen,In-Store,Apparel,T-Shirt Pack,23.91,2,0.01,47.82,47.34,False
ORD-100065,2024-07-07,CUST-7861,Consumer,South,Nina Torres,Online,Electronics,Bluetooth Speaker,46.74,2,0.039,93.48,89.83,False
ORD-100066,2024-07-07,CUST-5713,Consumer,Central,Marcus Webb,Online,Electronics,Bluetooth Speaker,46.11,6,0.097,276.66,249.82,False
ORD-100067,2024-07-07,CUST-7377,Small Business,West,Jake Chen,In-Store,Home & Kitchen,Coffee Maker,63.87,1,0.046,63.87,60.93,False
ORD-100068,2024-07-07,CUST-8867,Small Business,North,Jordan Lee,Online,Electronics,Wireless Earbuds,60.58,2,0.061,121.16,113.77,False
ORD-100069,2024-07-07,CUST-7405,Small Business,East,Ravi Shah,Online,Beauty,Perfume,71.5,1,0.041,71.5,68.57,False
ORD-100070,2024-07-07,CUST-6280,Consumer,Central,Dana Kowalski,Online,Electronics,Smart Watch,205.1,6,0.032,1230.6,1191.22,False
ORD-100071,2024-07-07,CUST-8543,Consumer,West,Sophie Zhang,In-Store,Home & Kitchen,Cookware Set,128.63,1,0.061,128.63,120.78,False
ORD-100072,2024-07-07,CUST-7131,Consumer,Central,Dana Kowalski,In-Store,Home & Kitchen,Cookware Set,135.17,1,0.062,135.17,126.79,False
ORD-100073,2024-07-07,CUST-8967,Consumer,South,Nina Torres,Online,Apparel,Yoga Pants,41.76,8,0.062,334.08,313.37,True
ORD-100074,2024-07-07,CUST-8052,Consumer,South,Nina Torres,Wholesale,Office Supplies,Desk Lamp,33.93,3,0.221,101.79,79.29,False
ORD-100075,2024-07-08,CUST-8291,Small Business,East,Ravi Shah,Online,Home & Kitchen,Vacuum Cleaner,156.16,5,0.07,780.8,726.14,False
ORD-100076,2024-07-08,CUST-8468,Consumer,South,Chris Evans,Marketplace,Electronics,Laptop Stand,30.63,2,0.07,61.26,56.97,False
ORD-100077,2024-07-08,CUST-6418,Consumer,South,Nina Torres,Online,Office Supplies,Monitor Arm,62.32,2,0.007,124.64,123.77,False
ORD-100078,2024-07-08,CUST-7438,Enterprise,East,Ravi Shah,In-Store,Electronics,Laptop Stand,29.76,6,0.019,178.56,175.17,False
ORD-100079,2024-07-08,CUST-8257,Consumer,North,Alex Kim,In-Store,Apparel,Winter Jacket,121.92,10,0.052,1219.2,1155.8,False
ORD-100080,2024-07-08,CUST-8150,Consumer,South,Nina Torres,In-Store,Office Supplies,Notebook Set,14.59,3,0.036,43.77,42.19,False
ORD-100081,2024-07-08,CUST-8935,Small Business,North,Alex Kim,Online,Home & Kitchen,Coffee Maker,66.62,6,0.058,399.72,376.54,False
ORD-100082,2024-07-08,CUST-6304,Small Business,West,Priya Nair,In-Store,Home & Kitchen,Blender,50.4,5,0.076,252.0,232.85,False
ORD-100083,2024-07-08,CUST-6417,Consumer,South,Nina Torres,Marketplace,Electronics,Smart Watch,199.61,2,0.129,399.22,347.72,False
ORD-100084,2024-07-08,CUST-8028,Small Business,South,Nina Torres,Marketplace,Office Supplies,Ergonomic Chair,254.81,8,0.121,2038.48,1791.82,False
ORD-100085,2024-07-08,CUST-5331,Consumer,East,Ravi Shah,Online,Office Supplies,Desk Lamp,35.17,1,0.026,35.17,34.26,False
ORD-100086,2024-07-08,CUST-8035,Small Business,North,Sam Patel,Online,Electronics,Laptop Stand,30.79,6,0.062,184.74,173.29,False
ORD-100087,2024-07-09,CUST-5809,Consumer,Central,Tyler Brooks,Online,Home & Kitchen,Air Fryer,93.22,2,0.083,186.44,170.97,False
ORD-100088,2024-07-09,CUST-5945,Consumer,South,Nina Torres,Online,Apparel,Running Shoes,82.39,1,0.026,82.39,80.25,False
ORD-100089,2024-07-09,CUST-7619,Consumer,Central,Dana Kowalski,Online,Home & Kitchen,Vacuum Cleaner,147.1,4,0.079,588.4,541.92,False
ORD-100090,2024-07-09,CUST-8716,Small Business,East,Emily Chen,Online,Electronics,Smart Watch,209.51,6,0.042,1257.06,1204.26,False
ORD-100091,2024-07-09,CUST-7029,Small Business,Central,Dana Kowalski,Marketplace,Apparel,Denim Jeans,55.81,1,0.074,55.81,51.68,True
ORD-100092,2024-07-09,CUST-5421,Enterprise,South,Chris Evans,In-Store,Office Supplies,Monitor Arm,58.93,2,0.091,117.86,107.13,False
ORD-100093,2024-07-09,CUST-5155,Consumer,North,Alex Kim,Marketplace,Home & Kitchen,Cookware Set,124.04,4,0.138,496.16,427.69,False
ORD-100094,2024-07-09,CUST-6996,Small Business,West,Sophie Zhang,Marketplace,Electronics,Wireless Earbuds,62.92,2,0.082,125.84,115.52,False
ORD-100095,2024-07-09,CUST-7732,Consumer,North,Jordan Lee,In-Store,Office Supplies,Monitor Arm,60.58,1,0.065,60.58,56.64,False
ORD-100096,2024-07-09,CUST-7511,Consumer,West,Jake Chen,In-Store,Electronics,USB-C Hub,34.04,2,0.012,68.08,67.26,False
ORD-100097,2024-07-10,CUST-6026,Consumer,South,Chris Evans,Wholesale,Apparel,T-Shirt Pack,24.97,2,0.229,49.94,38.5,False
ORD-100098,2024-07-10,CUST-5912,Consumer,West,Jake Chen,In-Store,Apparel,Winter Jacket,118.76,4,0.063,475.04,445.11,False
ORD-100099,2024-07-10,CUST-6455,Consumer,Central,Dana Kowalski,In-Store,Home & Kitchen,Vacuum Cleaner,156.76,1,0.026,156.76,152.68,False
ORD-100100,2024-07-10,CUST-6760,Small Business,Central,Dana Kowalski,Marketplace,Apparel,Denim Jeans,54.95,5,0.068,274.75,256.07,False
ORD-100101,2024-07-10,CUST-7011,Consumer,South,Nina Torres,Online,Home & Kitchen,Coffee Maker,64.89,2,0.057,129.78,122.38,False
ORD-100102,2024-07-10,CUST-5263,Consumer,South,Chris Evans,In-Store,Apparel,Denim Jeans,56.61,6,0.002,339.66,338.98,False
ORD-100103,2024-07-10,CUST-5489,Small Business,Central,Dana Kowalski,Online,Apparel,T-Shirt Pack,24.72,3,0.088,74.16,67.63,False
ORD-100104,2024-07-10,CUST-6586,Consumer,Central,Marcus Webb,Marketplace,Office Supplies,Monitor Arm,58.17,2,0.113,116.34,103.19,False
ORD-100105,2024-07-10,CUST-6433,Consumer,North,Sam Patel,Marketplace,Apparel,Denim Jeans,56.47,1,0.125,56.47,49.41,False
ORD-100106,2024-07-10,CUST-5512,Consumer,East,Liam O'Brien,In-Store,Electronics,Bluetooth Speaker,46.84,1,0.015,46.84,46.14,False
ORD-100107,2024-07-10,CUST-6803,Consumer,North,Alex Kim,In-Store,Electronics,USB-C Hub,33.4,2,0.08,66.8,61.46,False
ORD-100108,2024-07-10,CUST-6771,Enterprise,Central,Dana Kowalski,Marketplace,Electronics,USB-C Hub,36.25,2,0.125,72.5,63.44,False
ORD-100109,2024-07-11,CUST-7871,Enterprise,North,Alex Kim,In-Store,Beauty,Hair Dryer,44.71,3,0.009,134.13,132.92,False
ORD-100110,2024-07-11,CUST-5491,Consumer,East,Emily Chen,Wholesale,Beauty,Perfume,68.51,5,0.224,342.55,265.82,False
ORD-100111,2024-07-11,CUST-5862,Consumer,West,Priya Nair,In-Store,Electronics,USB-C Hub,33.38,2,0.049,66.76,63.49,False
ORD-100112,2024-07-11,CUST-7704,Consumer,Central,Tyler Brooks,Marketplace,Home & Kitchen,Cookware Set,126.16,2,0.085,252.32,230.87,False
ORD-100113,2024-07-11,CUST-9105,Consumer,West,Priya Nair,In-Store,Electronics,Smart Watch,196.65,5,0.092,983.25,892.79,False
ORD-100114,2024-07-11,CUST-7598,Consumer,South,Nina Torres,In-Store,Beauty,Perfume,66.99,4,0.082,267.96,245.99,False
ORD-100115,2024-07-11,CUST-5389,Consumer,East,Liam O'Brien,Online,Electronics,Laptop Stand,29.06,2,0.004,58.12,57.89,False
ORD-100116,2024-07-11,CUST-6248,Small Business,Central,Marcus Webb,Online,Apparel,Winter Jacket,122.83,1,0.07,122.83,114.23,False
ORD-100117,2024-07-11,CUST-8653,Consumer,West,Priya Nair,Marketplace,Electronics,USB-C Hub,35.64,1,0.09,35.64,32.43,False
ORD-100118,2024-07-12,CUST-5495,Consumer,West,Jake Chen,In-Store,Home & Kitchen,Cookware Set,133.5,1,0.002,133.5,133.23,False
ORD-100119,2024-07-12,CUST-7535,Consumer,West,Jake Chen,In-Store,Electronics,Bluetooth Speaker,43.48,6,0.022,260.88,255.14,False
ORD-100120,2024-07-12,CUST-7124,Consumer,South,Maria Gomez,In-Store,Home & Kitchen,Vacuum Cleaner,143.14,3,0.005,429.42,427.27,False
ORD-100121,2024-07-12,CUST-6117,Consumer,West,Jake Chen,Online,Home & Kitchen,Coffee Maker,64.79,5,0.064,323.95,303.22,False
ORD-100122,2024-07-12,CUST-6669,Enterprise,South,Nina Torres,In-Store,Home & Kitchen,Air Fryer,88.58,5,0.076,442.9,409.24,False
ORD-100123,2024-07-12,CUST-5755,Consumer,East,Liam O'Brien,Online,Electronics,Bluetooth Speaker,46.24,1,0.018,46.24,45.41,False
ORD-100124,2024-07-12,CUST-7527,Consumer,Central,Tyler Brooks,Wholesale,Home & Kitchen,Vacuum Cleaner,150.57,2,0.234,301.14,230.67,False
ORD-100125,2024-07-12,CUST-5721,Consumer,North,Sam Patel,In-Store,Beauty,Hair Dryer,46.93,8,0.013,375.44,370.56,True
ORD-100126,2024-07-12,CUST-8836,Consumer,South,Chris Evans,Marketplace,Office Supplies,Notebook Set,14.33,1,0.124,14.33,12.55,False
ORD-100127,2024-07-12,CUST-5880,Consumer,South,Nina Torres,In-Store,Office Supplies,Monitor Arm,59.17,1,0.049,59.17,56.27,False
ORD-100128,2024-07-12,CUST-5122,Consumer,North,Jordan Lee,Online,Home & Kitchen,Air Fryer,89.14,2,0.001,178.28,178.1,False
ORD-100129,2024-07-12,CUST-6635,Consumer,West,Jake Chen,Marketplace,Office Supplies,Monitor Arm,57.75,2,0.076,115.5,106.72,False
ORD-100130,2024-07-12,CUST-7606,Consumer,West,Priya Nair,Online,Home & Kitchen,Air Fryer,90.74,1,0.009,90.74,89.92,False
ORD-100131,2024-07-12,CUST-8570,Small Business,North,Sam Patel,In-Store,Electronics,Wireless Earbuds,57.23,2,0.058,114.46,107.82,False
ORD-100132,2024-07-12,CUST-9140,Consumer,East,Liam O'Brien,Online,Home & Kitchen,Cookware Set,132.76,1,0.047,132.76,126.52,False
ORD-100133,2024-07-12,CUST-5580,Small Business,East,Liam O'Brien,In-Store,Electronics,Smart Watch,190.74,1,0.046,190.74,181.97,False
ORD-100134,2024-07-12,CUST-7899,Enterprise,North,Alex Kim,Online,Electronics,Laptop Stand,31.11,1,0.074,31.11,28.81,True
ORD-100135,2024-07-12,CUST-5798,Enterprise,West,Jake Chen,Marketplace,Electronics,Wireless Earbuds,57.38,1,0.128,57.38,50.04,True
ORD-100136,2024-07-12,CUST-6337,Consumer,South,Nina Torres,Wholesale,Home & Kitchen,Coffee Maker,64.71,1,0.197,64.71,51.96,False
ORD-100137,2024-07-12,CUST-6251,Small Business,West,Jake Chen,Marketplace,Home & Kitchen,Coffee Maker,62.75,3,0.097,188.25,169.99,False
ORD-100138,2024-07-13,CUST-6784,Consumer,North,Jordan Lee,Online,Apparel,Winter Jacket,115.59,8,0.03,924.72,896.98,False
ORD-100139,2024-07-13,CUST-7995,Consumer,South,Chris Evans,In-Store,Apparel,Yoga Pants,40.87,5,0.094,204.35,185.14,False
ORD-100140,2024-07-13,CUST-7862,Enterprise,North,Jordan Lee,Marketplace,Beauty,Electric Shaver,92.46,5,0.142,462.3,396.65,False
ORD-100141,2024-07-13,CUST-9211,Consumer,North,Jordan Lee,Online,Electronics,Wireless Earbuds,61.42,4,0.091,245.68,223.32,False
ORD-100142,2024-07-13,CUST-5627,Consumer,Central,Tyler Brooks,Online,Electronics,Smart Watch,198.07,8,0.081,1584.56,1456.21,False
ORD-100143,2024-07-13,CUST-6857,Small Business,North,Sam Patel,Online,Beauty,Makeup Kit,57.69,8,0.091,461.52,419.52,False
ORD-100144,2024-07-13,CUST-5920,Consumer,North,Jordan Lee,In-Store,Home & Kitchen,Blender,49.19,4,0.018,196.76,193.22,False
ORD-100145,2024-07-13,CUST-8258,Enterprise,Central,Dana Kowalski,Marketplace,Office Supplies,Ergonomic Chair,243.62,4,0.066,974.48,910.16,False
ORD-100146,2024-07-13,CUST-8054,Consumer,East,Liam O'Brien,In-Store,Home & Kitchen,Cookware Set,136.44,2,0.085,272.88,249.69,False
ORD-100147,2024-07-13,CUST-8914,Small Business,North,Alex Kim,In-Store,Home & Kitchen,Blender,52.38,1,0.096,52.38,47.35,False
ORD-100148,2024-07-13,CUST-7026,Enterprise,Central,Dana Kowalski,Marketplace,Electronics,Wireless Earbuds,60.54,1,0.062,60.54,56.79,False
ORD-100149,2024-07-13,CUST-8923,Small Business,North,Alex Kim,In-Store,Beauty,Makeup Kit,53.39,4,0.064,213.56,199.89,False
ORD-100150,2024-07-13,CUST-6440,Enterprise,West,Sophie Zhang,In-Store,Electronics,Wireless Earbuds,58.42,1,0.081,58.42,53.69,False
ORD-100151,2024-07-13,CUST-6747,Consumer,North,Jordan Lee,Online,Home & Kitchen,Coffee Maker,65.13,5,0.004,325.65,324.35,False
ORD-100152,2024-07-13,CUST-8185,Consumer,East,Emily Chen,Online,Apparel,Denim Jeans,56.51,2,0.085,113.02,103.41,False
ORD-100153,2024-07-13,CUST-5900,Small Business,East,Ravi Shah,Online,Apparel,Yoga Pants,38.3,1,0.028,38.3,37.23,False
ORD-100154,2024-07-13,CUST-6877,Small Business,North,Alex Kim,Marketplace,Beauty,Makeup Kit,56.02,2,0.062,112.04,105.09,True
ORD-100155,2024-07-13,CUST-7360,Consumer,East,Ravi Shah,Marketplace,Electronics,Bluetooth Speaker,43.2,4,0.109,172.8,153.96,False
ORD-100156,2024-07-13,CUST-6388,Small Business,East,Ravi Shah,Online,Apparel,T-Shirt Pack,25.85,1,0.075,25.85,23.91,False
ORD-100157,2024-07-13,CUST-8119,Consumer,West,Priya Nair,Online,Home & Kitchen,Vacuum Cleaner,150.47,1,0.063,150.47,140.99,False
ORD-100158,2024-07-13,CUST-7177,Consumer,Central,Tyler Brooks,Marketplace,Electronics,Smart Watch,209.78,4,0.105,839.12,751.01,False
ORD-100159,2024-07-13,CUST-8282,Consumer,East,Ravi Shah,Online,Office Supplies,Notebook Set,15.37,6,0.012,92.22,91.11,False
ORD-100160,2024-07-13,CUST-7952,Small Business,East,Ravi Shah,Online,Home & Kitchen,Cookware Set,129.95,3,0.077,389.85,359.83,False
ORD-100161,2024-07-14,CUST-8868,Enterprise,East,Liam O'Brien,Online,Apparel,T-Shirt Pack,24.09,2,0.005,48.18,47.94,False
ORD-100162,2024-07-14,CUST-6392,Small Business,West,Priya Nair,Online,Beauty,Skincare Set,75.31,4,0.076,301.24,278.35,False
ORD-100163,2024-07-14,CUST-5610,Small Business,South,Nina Torres,In-Store,Home & Kitchen,Air Fryer,86.52,4,0.096,346.08,312.86,False
ORD-100164,2024-07-14,CUST-7519,Consumer,East,Liam O'Brien,Online,Office Supplies,Ergonomic Chair,260.12,1,0.1,260.12,234.11,False
ORD-100165,2024-07-14,CUST-8384,Consumer,East,Ravi Shah,In-Store,Office Supplies,Standing Desk,340.54,1,0.04,340.54,326.92,False
ORD-100166,2024-07-14,CUST-6758,Small Business,Central,Tyler Brooks,Wholesale,Apparel,Yoga Pants,41.45,6,0.229,248.7,191.75,False
ORD-100167,2024-07-14,CUST-9041,Consumer,East,Liam O'Brien,Online,Beauty,Makeup Kit,53.91,8,0.009,431.28,427.4,False
ORD-100168,2024-07-14,CUST-9337,Small Business,South,Chris Evans,Online,Electronics,USB-C Hub,34.02,2,0.049,68.04,64.71,False
ORD-100169,2024-07-14,CUST-5026,Consumer,East,Ravi Shah,Online,Office Supplies,Ergonomic Chair,245.1,3,0.079,735.3,677.21,False
ORD-100170,2024-07-14,CUST-6465,Consumer,West,Jake Chen,In-Store,Home & Kitchen,Coffee Maker,66.34,1,0.005,66.34,66.01,False
ORD-100171,2024-07-15,CUST-5044,Small Business,Central,Marcus Webb,In-Store,Office Supplies,Desk Lamp,35.08,3,0.017,105.24,103.45,False
ORD-100172,2024-07-15,CUST-5758,Small Business,West,Priya Nair,Online,Home & Kitchen,Blender,48.03,1,0.059,48.03,45.2,False
ORD-100173,2024-07-15,CUST-9382,Consumer,Central,Dana Kowalski,Online,Beauty,Makeup Kit,52.99,1,0.009,52.99,52.51,False
ORD-100174,2024-07-15,CUST-9030,Consumer,South,Chris Evans,Marketplace,Beauty,Hair Dryer,44.44,2,0.107,88.88,79.37,False
ORD-100175,2024-07-15,CUST-5431,Enterprise,East,Emily Chen,Marketplace,Apparel,T-Shirt Pack,24.59,3,0.131,73.77,64.11,False
ORD-100176,2024-07-15,CUST-7156,Small Business,West,Jake Chen,Online,Apparel,Winter Jacket,124.21,2,0.039,248.42,238.73,False
ORD-100177,2024-07-15,CUST-6050,Small Business,South,Maria Gomez,Online,Office Supplies,Monitor Arm,60.42,2,0.001,120.84,120.72,False
ORD-100178,2024-07-15,CUST-8067,Consumer,South,Nina Torres,In-Store,Electronics,Bluetooth Speaker,43.58,4,0.011,174.32,172.4,False
ORD-100179,2024-07-15,CUST-7826,Consumer,West,Priya Nair,Online,Electronics,USB-C Hub,33.34,5,0.083,166.7,152.86,False
ORD-100180,2024-07-15,CUST-7698,Consumer,West,Sophie Zhang,Online,Home & Kitchen,Vacuum Cleaner,144.03,5,0.07,720.15,669.74,False
ORD-100181,2024-07-16,CUST-7444,Consumer,Central,Dana Kowalski,Marketplace,Apparel,T-Shirt Pack,25.49,2,0.139,50.98,43.89,False
ORD-100182,2024-07-16,CUST-8720,Consumer,Central,Tyler Brooks,Online,Home & Kitchen,Vacuum Cleaner,155.2,4,0.097,620.8,560.58,False
ORD-100183,2024-07-16,CUST-6615,Consumer,South,Maria Gomez,Marketplace,Home & Kitchen,Air Fryer,92.53,6,0.103,555.18,498.0,False
